company_cik,metric_code,metric_name,statement_name,category_name,taxonomy,source_tag,unit,value,period_start,period_end,duration_days,period_type,fiscal_year,fiscal_period,form_type,filed_date,accession_number,source_url,is_derived,derivation_method,business_key
0000320193,EQUITY,Shareholders' Equity,Balance Sheet,Financial Position,us-gaap,StockholdersEquity,USD,56950.0,,2024-09-28,,Annual,2024,FY,10-K,2024-11-01,0000320193-24-000123,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/,False,,fa5ff4525ecf4f7c42741be486a076a2f258cc7276b614a1b22bd2d364816a4d
0000320193,TOTAL_ASSETS,Total Assets,Balance Sheet,Financial Position,us-gaap,Assets,USD,364980.0,,2024-09-28,,Annual,2024,FY,10-K,2024-11-01,0000320193-24-000123,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/,False,,9f5f0b4009f5611aab2e226f5c288ed1bc6f54908bc4e7f9af32a8d6cc4fb7fc
0000320193,TOTAL_LIABILITIES,Total Liabilities,Balance Sheet,Financial Position,us-gaap,Liabilities,USD,308030.0,,2024-09-28,,Annual,2024,FY,10-K,2024-11-01,0000320193-24-000123,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/,False,,704a14649cf7e7f2fb7dff9b66f0b245101002615933bf494dda239b8859e960
0000320193,OPERATING_CASH_FLOW,Operating Cash Flow,Cash Flow Statement,Cash Flow,us-gaap,NetCashProvidedByUsedInOperatingActivities,USD,118254.0,2023-10-01,2024-09-28,364.0,Annual,2024,FY,10-K,2024-11-01,0000320193-24-000123,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/,False,,0ab5497012a5419cd81c3c890715ab69696ca402e83c1d5c79c94341b39e071f
0000320193,NET_INCOME,Net Income,Income Statement,Profitability,us-gaap,NetIncomeLoss,USD,93736.0,2023-10-01,2024-09-28,364.0,Annual,2024,FY,10-K,2024-11-01,0000320193-24-000123,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/,False,,825f2285350148a4bd331acf8d4f3a033c393c6c317204102a27abdfb97e6564
0000320193,REVENUE,Revenue,Income Statement,Profitability,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,391100.0,2023-10-01,2024-09-28,364.0,Annual,2024,FY,10-K,2025-10-31,0000320193-25-000079,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/,False,,57156decea1dc40d7e4e36c08f258acfd4e330272b144defd81ba9f684c5899f
0000320193,OPERATING_CASH_FLOW,Operating Cash Flow,Cash Flow Statement,Cash Flow,us-gaap,NetCashProvidedByUsedInOperatingActivities,USD,30000.0,2023-10-01,2023-12-30,91.0,Quarterly,2024,Q1,10-Q,2024-02-02,0000320193-24-000006,https://www.sec.gov/Archives/edgar/data/320193/000032019324000006/,False,,c454ed90b240b197135a43c2f7b5c3200ce05d3e4a0207f29d355d893405c3a1
0000320193,REVENUE,Revenue,Income Statement,Profitability,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,119575.0,2023-10-01,2023-12-30,91.0,Quarterly,2024,Q1,10-Q,2024-02-02,0000320193-24-000006,https://www.sec.gov/Archives/edgar/data/320193/000032019324000006/,False,,641dd7ea5116539b248abbb7aa6e2714f66d046e19256687d6ee7b74d9b88076
0000320193,OPERATING_CASH_FLOW,Operating Cash Flow,Cash Flow Statement,Cash Flow,us-gaap,NetCashProvidedByUsedInOperatingActivities,USD,25000.0,2023-12-31,2024-03-30,91.0,Quarterly,2024,Q2,10-Q,2024-05-03,0000320193-24-000069,https://www.sec.gov/Archives/edgar/data/320193/000032019324000069/,True,Q2 standalone = fiscal YTD - prior standalone quarters,5af1a8e9e88c01903a593ccffc0a7f33a932bdaa006c39ed020a3a8a140e99ae
0000320193,REVENUE,Revenue,Income Statement,Profitability,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,90753.0,2023-12-31,2024-03-30,91.0,Quarterly,2024,Q2,10-Q,2024-05-03,0000320193-24-000069,https://www.sec.gov/Archives/edgar/data/320193/000032019324000069/,False,,7c6a8addd04b7c82769788c5affd4a424a8351615f43dae953aa11bae415a31d
0000320193,OPERATING_CASH_FLOW,Operating Cash Flow,Cash Flow Statement,Cash Flow,us-gaap,NetCashProvidedByUsedInOperatingActivities,USD,30000.0,2024-03-31,2024-06-29,91.0,Quarterly,2024,Q3,10-Q,2024-08-02,0000320193-24-000081,https://www.sec.gov/Archives/edgar/data/320193/000032019324000081/,True,Q3 standalone = fiscal YTD - prior standalone quarters,98982557dcc189c2ecbf8aa71c211e9028d926d2d2d97166fa59472fe998a907
0000320193,REVENUE,Revenue,Income Statement,Profitability,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,85777.0,2024-03-31,2024-06-29,91.0,Quarterly,2024,Q3,10-Q,2024-08-02,0000320193-24-000081,https://www.sec.gov/Archives/edgar/data/320193/000032019324000081/,False,,2270f97e13f1a9f816bd53878c67d7a7c9bcebb7b8a157e9662ae94aed8db8ab
0000320193,EQUITY,Shareholders' Equity,Balance Sheet,Financial Position,us-gaap,StockholdersEquity,USD,56950.0,,2024-09-28,,Quarterly,2024,Q4,10-K,2024-11-01,0000320193-24-000123,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/,True,Q4 ending balance = fiscal year-end balance,167363af214532999984ae9d21c952b9288e10c403ea869a7a1864004d38d965
0000320193,TOTAL_ASSETS,Total Assets,Balance Sheet,Financial Position,us-gaap,Assets,USD,364980.0,,2024-09-28,,Quarterly,2024,Q4,10-K,2024-11-01,0000320193-24-000123,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/,True,Q4 ending balance = fiscal year-end balance,2c2f734ff7a3e379764131dadd967ebfdd1cbc1f46f7d907b697396ce8420fe2
0000320193,TOTAL_LIABILITIES,Total Liabilities,Balance Sheet,Financial Position,us-gaap,Liabilities,USD,308030.0,,2024-09-28,,Quarterly,2024,Q4,10-K,2024-11-01,0000320193-24-000123,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/,True,Q4 ending balance = fiscal year-end balance,6f2b8e343bd4b4007c21d583b324e3b230052520c8458448be02a1c14b8280c1
0000320193,OPERATING_CASH_FLOW,Operating Cash Flow,Cash Flow Statement,Cash Flow,us-gaap,NetCashProvidedByUsedInOperatingActivities,USD,33254.0,2024-06-30,2024-09-28,91.0,Quarterly,2024,Q4,10-K,2024-11-01,0000320193-24-000123,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/,True,Q4 = FY - Q1 - Q2 - Q3,27dd88ed46bbf5d3e40c82857a8bc9c5e7d62ac0a732c0e026ac25e4e35eca15
0000320193,REVENUE,Revenue,Income Statement,Profitability,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,94995.0,2024-06-30,2024-09-28,91.0,Quarterly,2024,Q4,10-K,2025-10-31,0000320193-25-000079,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/,True,Q4 = FY - Q1 - Q2 - Q3,617b4777429ab0d86094340f8427ca079c36b095ad9f5aaf0285724f5e2c3b79
