date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI
2016-01-01,201553,Friday,5,1,2016,d_1,,,,,0,0,0
2016-01-02,201553,Saturday,6,1,2016,d_2,,,,,0,0,0
2016-01-03,201553,Sunday,7,1,2016,d_3,,,,,1,0,0
2016-01-04,201601,Monday,1,1,2016,d_4,,,,,0,1,0
2016-01-05,201601,Tuesday,2,1,2016,d_5,,,,,0,0,1
2016-01-06,201601,Wednesday,3,1,2016,d_6,,,,,1,0,0
2016-01-07,201601,Thursday,4,1,2016,d_7,,,,,0,0,0
2016-01-08,201601,Friday,5,1,2016,d_8,,,,,0,1,0
2016-01-09,201601,Saturday,6,1,2016,d_9,,,,,1,0,0
2016-01-10,201601,Sunday,7,1,2016,d_10,,,,,0,0,1
2016-01-11,201602,Monday,1,1,2016,d_11,,,,,0,0,0
2016-01-12,201602,Tuesday,2,1,2016,d_12,,,,,1,1,0
2016-01-13,201602,Wednesday,3,1,2016,d_13,,,,,0,0,0
2016-01-14,201602,Thursday,4,1,2016,d_14,,,,,0,0,0
2016-01-15,201602,Friday,5,1,2016,d_15,SyntheticPromotion,Cultural,,,1,0,1
2016-01-16,201602,Saturday,6,1,2016,d_16,,,,,0,1,0
2016-01-17,201602,Sunday,7,1,2016,d_17,,,,,0,0,0
2016-01-18,201603,Monday,1,1,2016,d_18,,,,,1,0,0
2016-01-19,201603,Tuesday,2,1,2016,d_19,,,,,0,0,0
2016-01-20,201603,Wednesday,3,1,2016,d_20,,,,,0,1,1
2016-01-21,201603,Thursday,4,1,2016,d_21,,,,,1,0,0
2016-01-22,201603,Friday,5,1,2016,d_22,,,,,0,0,0
2016-01-23,201603,Saturday,6,1,2016,d_23,,,,,0,0,0
2016-01-24,201603,Sunday,7,1,2016,d_24,,,,,1,1,0
2016-01-25,201604,Monday,1,1,2016,d_25,,,,,0,0,1
2016-01-26,201604,Tuesday,2,1,2016,d_26,,,,,0,0,0
2016-01-27,201604,Wednesday,3,1,2016,d_27,,,,,1,0,0
2016-01-28,201604,Thursday,4,1,2016,d_28,,,,,0,1,0
