DataQualityKey,CheckDateKey,FullDate,TableName,CheckName,CheckCategory,Severity,Status,RecordsChecked,FailedRecords,FailurePercentage,CreatedAt,PipelineRunID,SourceSystem,DataVersion
1,20260110,2026-01-10,FactSales,required_sales_fields,COMPLETENESS,CRITICAL,PASS,225,0,0.000000,2026-07-31 14:16:12.909,4A0158F6-5F63-433A-ACC0-D2326242782C,DATA_QUALITY_FRAMEWORK,phase-4-v1
2,20260110,2026-01-10,FactInventorySnapshot,required_inventory_fields,COMPLETENESS,CRITICAL,PASS,560,0,0.000000,2026-07-31 14:16:12.919,4A0158F6-5F63-433A-ACC0-D2326242782C,DATA_QUALITY_FRAMEWORK,phase-4-v1
3,20260110,2026-01-10,FactSales,duplicate_sales_business_grain,UNIQUENESS,CRITICAL,PASS,225,0,0.000000,2026-07-31 14:16:12.927,4A0158F6-5F63-433A-ACC0-D2326242782C,DATA_QUALITY_FRAMEWORK,phase-4-v1
4,20260110,2026-01-10,FactInventorySnapshot,duplicate_inventory_business_grain,UNIQUENESS,CRITICAL,PASS,560,0,0.000000,2026-07-31 14:16:12.934,4A0158F6-5F63-433A-ACC0-D2326242782C,DATA_QUALITY_FRAMEWORK,phase-4-v1
5,20260110,2026-01-10,MultipleFacts,invalid_or_orphaned_fact_keys,REFERENTIAL_INTEGRITY,CRITICAL,PASS,805,0,0.000000,2026-07-31 14:16:12.941,4A0158F6-5F63-433A-ACC0-D2326242782C,DATA_QUALITY_FRAMEWORK,phase-4-v1
6,20260110,2026-01-10,DimDate,invalid_dates,VALIDITY,CRITICAL,PASS,1972,0,0.000000,2026-07-31 14:16:12.948,4A0158F6-5F63-433A-ACC0-D2326242782C,DATA_QUALITY_FRAMEWORK,phase-4-v1
7,20260110,2026-01-10,FactSales,sales_date_range,VALIDITY,CRITICAL,PASS,224,0,0.000000,2026-07-31 14:16:12.956,4A0158F6-5F63-433A-ACC0-D2326242782C,DATA_QUALITY_FRAMEWORK,phase-4-v1
8,20260110,2026-01-10,"FactSales,FactSellPrice",negative_sales_or_prices,VALIDITY,CRITICAL,PASS,449,0,0.000000,2026-07-31 14:16:12.962,4A0158F6-5F63-433A-ACC0-D2326242782C,DATA_QUALITY_FRAMEWORK,phase-4-v1
9,20260110,2026-01-10,FactInventorySnapshot,inventory_closing_stock_reconciliation,CONSISTENCY,CRITICAL,PASS,560,0,0.000000,2026-07-31 14:16:12.969,4A0158F6-5F63-433A-ACC0-D2326242782C,DATA_QUALITY_FRAMEWORK,phase-4-v1
10,20260110,2026-01-10,FactForecast,negative_forecasts,VALIDITY,CRITICAL,PASS,0,0,0.000000,2026-07-31 14:16:12.975,4A0158F6-5F63-433A-ACC0-D2326242782C,DATA_QUALITY_FRAMEWORK,phase-4-v1
11,20260110,2026-01-10,"DimSupplier,BridgeSupplierProduct",supplier_capacity_below_minimum_order,BUSINESS_RULE,CRITICAL,PASS,38,0,0.000000,2026-07-31 14:16:12.981,4A0158F6-5F63-433A-ACC0-D2326242782C,DATA_QUALITY_FRAMEWORK,phase-4-v1
12,20260110,2026-01-10,FactInventorySnapshot,warehouse_capacity_exceeded,BUSINESS_RULE,CRITICAL,PASS,560,0,0.000000,2026-07-31 14:16:12.989,4A0158F6-5F63-433A-ACC0-D2326242782C,DATA_QUALITY_FRAMEWORK,phase-4-v1
