DateKey,FullDate,TotalActualDemand,TotalRevenue,ExpectedDemand,ForecastRevenue,InventoryValue,ProductsAtRisk,CriticalStockouts,RecommendedPurchaseValue,ExpectedRevenueProtected,OptimizationSavings
20160104,2016-01-04,23.0000,0E-7,0.000000,0.0000,541.2500,0,0,0.0000,0.0000,0.0000
20160105,2016-01-05,27.0000,0E-7,0.000000,0.0000,444.0000,0,0,0.0000,0.0000,0.0000
20160106,2016-01-06,27.0000,0E-7,0.000000,0.0000,433.7500,0,0,0.0000,0.0000,0.0000
20160107,2016-01-07,31.0000,0E-7,0.000000,0.0000,326.0000,0,0,0.0000,0.0000,0.0000
20160108,2016-01-08,33.0000,0E-7,0.000000,0.0000,222.0000,0,0,0.0000,0.0000,0.0000
20160109,2016-01-09,42.0000,0E-7,0.000000,0.0000,145.5000,0,0,0.0000,0.0000,0.0000
20160110,2016-01-10,53.0000,0E-7,0.000000,0.0000,105.0000,0,0,0.0000,0.0000,0.0000
20160111,2016-01-11,30.0000,0E-7,0.000000,0.0000,270.7500,0,0,0.0000,0.0000,0.0000
20160112,2016-01-12,36.0000,0E-7,0.000000,0.0000,264.0000,0,0,0.0000,0.0000,0.0000
20160113,2016-01-13,35.0000,0E-7,0.000000,0.0000,260.0000,0,0,0.0000,0.0000,0.0000
20160114,2016-01-14,29.0000,0E-7,0.000000,0.0000,250.0000,0,0,0.0000,0.0000,0.0000
20160115,2016-01-15,58.0000,0E-7,0.000000,0.0000,238.0000,0,0,0.0000,0.0000,0.0000
20160116,2016-01-16,44.0000,0E-7,0.000000,0.0000,232.0000,0,0,0.0000,0.0000,0.0000
20160117,2016-01-17,53.0000,0E-7,0.000000,0.0000,416.0000,0,0,0.0000,0.0000,0.0000
20160118,2016-01-18,33.0000,0E-7,0.000000,0.0000,400.5000,0,0,0.0000,0.0000,0.0000
20160119,2016-01-19,36.0000,0E-7,0.000000,0.0000,393.0000,0,0,0.0000,0.0000,0.0000
20160120,2016-01-20,37.0000,0E-7,0.000000,0.0000,382.2500,0,0,0.0000,0.0000,0.0000
20160121,2016-01-21,29.0000,0E-7,0.000000,0.0000,1035.2500,0,0,0.0000,0.0000,0.0000
20160122,2016-01-22,33.0000,0E-7,0.000000,0.0000,1012.7500,0,0,0.0000,0.0000,0.0000
20160123,2016-01-23,50.0000,0E-7,0.000000,0.0000,1351.0000,0,0,0.0000,0.0000,0.0000
20160124,2016-01-24,49.0000,0E-7,0.000000,0.0000,1303.2500,0,0,0.0000,0.0000,0.0000
20160125,2016-01-25,35.0000,0E-7,0.000000,0.0000,1784.5000,0,0,0.0000,0.0000,0.0000
20160126,2016-01-26,29.0000,0E-7,0.000000,0.0000,2585.7500,0,0,0.0000,0.0000,0.0000
20160127,2016-01-27,26.0000,0E-7,0.000000,0.0000,2545.2500,0,0,0.0000,0.0000,0.0000
20160128,2016-01-28,32.0000,0E-7,0.000000,0.0000,2485.0000,13,12,778.3906,1540.1912,127.4734
20160129,2016-01-29,0.0000,0E-7,36.837722,240.5481,0.0000,0,0,0.0000,0.0000,0.0000
20160130,2016-01-30,0.0000,0E-7,32.131520,218.4878,0.0000,0,0,0.0000,0.0000,0.0000
20160131,2016-01-31,0.0000,0E-7,42.339625,281.2777,0.0000,0,0,0.0000,0.0000,0.0000
20160103,2016-01-03,46.0000,0E-7,0.000000,0.0000,617.2500,0,0,0.0000,0.0000,0.0000
20160223,2016-02-23,0.0000,0E-7,34.293243,227.0302,0.0000,0,0,0.0000,0.0000,0.0000
20160224,2016-02-24,0.0000,0E-7,31.696374,213.3973,0.0000,0,0,0.0000,0.0000,0.0000
20160225,2016-02-25,0.0000,0E-7,34.324201,227.3446,0.0000,0,0,0.0000,0.0000,0.0000
20160226,2016-02-26,0.0000,0E-7,33.253068,222.4686,0.0000,0,0,0.0000,0.0000,0.0000
20160227,2016-02-27,0.0000,0E-7,31.996222,213.9305,0.0000,0,0,0.0000,0.0000,0.0000
20160228,2016-02-28,0.0000,0E-7,40.287484,272.9561,0.0000,0,0,0.0000,0.0000,0.0000
20160229,2016-02-29,0.0000,0E-7,32.191195,215.7637,0.0000,0,0,0.0000,0.0000,0.0000
