ForecastID,TargetDate,ProductID,StoreID,ModelName,FeatureName,FeatureValue,ShapValue,AbsoluteImpact,Direction,ContributionRank,ExplanationText
F330FA61-40BF-50B7-BE03-89961CC59380,2016-01-29,SAMPLE_ITEM_001,SAMPLE_CA_1,XGBoost,days_of_supply,25.333333333333332,-0.93049163,0.93049163,NEGATIVE,1,Days of supply (25.333333333333332) decreased the forecast by 0.930 units relative to the model baseline.
F330FA61-40BF-50B7-BE03-89961CC59380,2016-01-29,SAMPLE_ITEM_001,SAMPLE_CA_1,XGBoost,lag_1,0.0,0.92261267,0.92261267,POSITIVE,2,Yesterday's demand (0.0) increased the forecast by 0.923 units relative to the model baseline.
F330FA61-40BF-50B7-BE03-89961CC59380,2016-01-29,SAMPLE_ITEM_001,SAMPLE_CA_1,XGBoost,day_of_month,29,-0.52969450,0.52969450,NEGATIVE,3,Day of month (29) decreased the forecast by 0.530 units relative to the model baseline.
F330FA61-40BF-50B7-BE03-89961CC59380,2016-01-29,SAMPLE_ITEM_001,SAMPLE_CA_1,XGBoost,rolling_mean_7,3.0,-0.47101244,0.47101244,NEGATIVE,4,The recent seven-day demand average (3.0) decreased the forecast by 0.471 units relative to the model baseline.
F330FA61-40BF-50B7-BE03-89961CC59380,2016-01-29,SAMPLE_ITEM_001,SAMPLE_CA_1,XGBoost,current_stock,76.0,-0.21510150,0.21510150,NEGATIVE,5,Current stock (76.0) decreased the forecast by 0.215 units relative to the model baseline.
9D2BCDD0-840F-5948-A6CA-39403C459C4E,2016-01-30,SAMPLE_ITEM_001,SAMPLE_CA_1,XGBoost,days_of_supply,25.39994474406898,-1.18972230,1.18972230,NEGATIVE,1,Days of supply (25.39994474406898) decreased the forecast by 1.190 units relative to the model baseline.
9D2BCDD0-840F-5948-A6CA-39403C459C4E,2016-01-30,SAMPLE_ITEM_001,SAMPLE_CA_1,XGBoost,day_of_month,30,-0.55530787,0.55530787,NEGATIVE,2,Day of month (30) decreased the forecast by 0.555 units relative to the model baseline.
9D2BCDD0-840F-5948-A6CA-39403C459C4E,2016-01-30,SAMPLE_ITEM_001,SAMPLE_CA_1,XGBoost,rolling_mean_7,2.9921324934278215,-0.49584052,0.49584052,NEGATIVE,3,The recent seven-day demand average (2.9921324934278215) decreased the forecast by 0.496 units relative to the model baseline.
9D2BCDD0-840F-5948-A6CA-39403C459C4E,2016-01-30,SAMPLE_ITEM_001,SAMPLE_CA_1,XGBoost,current_stock,76.0,-0.35120726,0.35120726,NEGATIVE,4,Current stock (76.0) decreased the forecast by 0.351 units relative to the model baseline.
9D2BCDD0-840F-5948-A6CA-39403C459C4E,2016-01-30,SAMPLE_ITEM_001,SAMPLE_CA_1,XGBoost,lag_1,3.944927453994751,0.29976651,0.29976651,POSITIVE,5,Yesterday's demand (3.944927453994751) increased the forecast by 0.300 units relative to the model baseline.
CD515A45-76C4-5BA3-8E17-1E588ED8FCAA,2016-01-31,SAMPLE_ITEM_001,SAMPLE_CA_1,XGBoost,days_of_supply,28.065763425849603,-1.05280685,1.05280685,NEGATIVE,1,Days of supply (28.065763425849603) decreased the forecast by 1.053 units relative to the model baseline.
