ForecastMetricKey,ModelID,ModelName,ModelVersion,IsProduction,ModelRunID,RunStatus,RunStartedAt,RunCompletedAt,TrainingRows,TrainingTimeSeconds,InferenceTimeSeconds,ProductID,CategoryID,HorizonDays,FoldNumber,WAPE,RMSE,MAE,Bias,SMAPE,MASE,RMSSE,Coverage
1,SEASONAL_NAIVE,Seasonal Naive,1.0.0,False,DF9AF465-6D2C-4A1E-8F07-C47425872559,SUCCEEDED,2026-07-31 14:27:55.995,2026-07-31 14:27:55.996,56,0.000023,0.000244,,,7,1,0.46456693,2.54249596,2.10714286,0.64285714,0.49717260,,,
2,XGBOOST,XGBoost,1.0.0,True,63179DF9-4343-44A3-9904-898248D59D49,SUCCEEDED,2026-07-31 14:27:56.233,2026-07-31 14:27:56.264,56,0.028289,0.002868,,,7,1,0.37690137,2.02850714,1.70951691,-0.44932079,0.43625647,,,
3,LIGHTGBM,LightGBM,1.0.0,False,9BED5689-509E-48D3-B689-277FE1AEC4C0,SUCCEEDED,2026-07-31 14:27:56.284,2026-07-31 14:27:56.311,56,0.026149,0.001489,,,7,1,0.40290701,2.21363814,1.82747108,-0.58243212,0.46653325,,,
4,SEASONAL_NAIVE,Seasonal Naive,1.0.0,False,9399C0FF-8F84-4BB2-A8C0-A40C5D15D1E3,SUCCEEDED,2026-07-31 16:15:34.004,2026-07-31 16:15:34.005,56,0.000012,0.000183,,,7,1,0.46456693,2.54249596,2.10714286,0.64285714,0.49717260,,,
5,XGBOOST,XGBoost,1.0.0,True,AA82900D-3D0D-4DCF-9FF0-AABBAA284D0E,SUCCEEDED,2026-07-31 16:15:34.221,2026-07-31 16:15:34.298,56,0.069767,0.005524,,,7,1,0.37093773,2.00981624,1.68246758,-0.39931546,0.42348549,,,
6,LIGHTGBM,LightGBM,1.0.0,False,3967C476-BE90-426A-A8A1-F0695ED22FD8,SUCCEEDED,2026-07-31 16:15:34.323,2026-07-31 16:15:34.358,56,0.034420,0.001407,,,7,1,0.39607788,2.16496444,1.79649612,-0.61555294,0.45925838,,,
7,SEASONAL_NAIVE,Seasonal Naive,1.0.0,False,CCCE7867-2736-4196-BAB0-07A7F3579E78,SUCCEEDED,2026-07-31 16:17:24.880,2026-07-31 16:17:24.880,56,0.000013,0.000365,,,7,1,0.46456693,2.54249596,2.10714286,0.64285714,0.49717260,,,
8,XGBOOST,XGBoost,1.0.0,True,A0F061FB-2B5E-4CF2-817B-A8CD67ACED2C,SUCCEEDED,2026-07-31 16:17:25.097,2026-07-31 16:17:25.143,56,0.037993,0.007740,,,7,1,0.37093773,2.00981624,1.68246758,-0.39931546,0.42348549,,,
9,LIGHTGBM,LightGBM,1.0.0,False,EC6E1E56-7A0C-4C1F-8961-CEDAB9EE22CB,SUCCEEDED,2026-07-31 16:17:25.170,2026-07-31 16:17:25.199,56,0.027785,0.001315,,,7,1,0.39607788,2.16496444,1.79649612,-0.61555294,0.45925838,,,
10,SEASONAL_NAIVE,Seasonal Naive,1.0.0,False,42FD788F-4680-4863-BED4-D1597FB45D70,SUCCEEDED,2026-07-31 16:19:19.223,2026-07-31 16:19:19.224,56,0.000010,0.000167,,,7,1,0.46456693,2.54249596,2.10714286,0.64285714,0.49717260,,,
11,XGBOOST,XGBoost,1.0.0,True,A250A208-FAAA-422E-9B1F-0075CA9A2162,SUCCEEDED,2026-07-31 16:19:19.440,2026-07-31 16:19:19.474,56,0.031279,0.002485,,,7,1,0.37093773,2.00981624,1.68246758,-0.39931546,0.42348549,,,
12,LIGHTGBM,LightGBM,1.0.0,False,0D5C5C6E-B621-4AB0-8D82-D48D4DB629FB,SUCCEEDED,2026-07-31 16:19:19.497,2026-07-31 16:19:19.520,56,0.021442,0.001439,,,7,1,0.39607788,2.16496444,1.79649612,-0.61555294,0.45925838,,,
