date,device,region,sessions,conversions,revenue,release
2026-01-05,Desktop,DACH,212,17,1433.99,Previous checkout
2026-01-05,Desktop,Benelux,118,9,766.08,Previous checkout
2026-01-05,Mobile,DACH,823,33,1953.11,Previous checkout
2026-01-05,Mobile,Benelux,437,17,1072.4,Previous checkout
2026-01-12,Desktop,DACH,210,17,1387.69,Previous checkout
2026-01-12,Desktop,Benelux,111,9,712.25,Previous checkout
2026-01-12,Mobile,DACH,845,35,2179.08,Previous checkout
2026-01-12,Mobile,Benelux,440,18,1132.53,Previous checkout
2026-01-19,Desktop,DACH,206,16,1308.51,Previous checkout
2026-01-19,Desktop,Benelux,116,9,748.81,Previous checkout
2026-01-19,Mobile,DACH,881,36,2165.4,Previous checkout
2026-01-19,Mobile,Benelux,438,17,1011.24,Previous checkout
2026-01-26,Desktop,DACH,209,16,1283.34,Previous checkout
2026-01-26,Desktop,Benelux,117,9,757.64,Previous checkout
2026-01-26,Mobile,DACH,786,33,2066.51,Previous checkout
2026-01-26,Mobile,Benelux,454,17,1019.44,Previous checkout
2026-02-02,Desktop,DACH,216,17,1360.53,Previous checkout
2026-02-02,Desktop,Benelux,115,9,747.73,Previous checkout
2026-02-02,Mobile,DACH,778,32,1945.58,Previous checkout
2026-02-02,Mobile,Benelux,440,17,1005.02,Previous checkout
2026-02-09,Desktop,DACH,203,17,1401.28,Previous checkout
2026-02-09,Desktop,Benelux,113,9,741.16,Previous checkout
2026-02-09,Mobile,DACH,840,35,2054.86,Previous checkout
2026-02-09,Mobile,Benelux,443,17,1029.41,Previous checkout
2026-02-16,Desktop,DACH,200,16,1265.64,Previous checkout
2026-02-16,Desktop,Benelux,117,9,747.56,Previous checkout
2026-02-16,Mobile,DACH,807,33,2039.46,Previous checkout
2026-02-16,Mobile,Benelux,446,17,1009.37,Previous checkout
2026-02-23,Desktop,DACH,207,16,1335.34,Previous checkout
2026-02-23,Desktop,Benelux,116,9,738.06,Previous checkout
2026-02-23,Mobile,DACH,833,35,2125.8,Previous checkout
2026-02-23,Mobile,Benelux,449,17,1047.81,Previous checkout
2026-03-02,Desktop,DACH,771,55,4372.18,New checkout
2026-03-02,Desktop,Benelux,435,31,2582.61,New checkout
2026-03-02,Mobile,DACH,207,8,498.88,New checkout
2026-03-02,Mobile,Benelux,117,4,239.55,New checkout
2026-03-09,Desktop,DACH,792,58,4739.17,New checkout
2026-03-09,Desktop,Benelux,423,30,2475.59,New checkout
2026-03-09,Mobile,DACH,205,7,435.83,New checkout
2026-03-09,Mobile,Benelux,112,4,246.49,New checkout
2026-03-16,Desktop,DACH,865,64,5073.53,New checkout
2026-03-16,Desktop,Benelux,453,32,2622.74,New checkout
2026-03-16,Mobile,DACH,216,8,472.52,New checkout
2026-03-16,Mobile,Benelux,110,3,189.22,New checkout
2026-03-23,Desktop,DACH,808,58,4790.59,New checkout
2026-03-23,Desktop,Benelux,447,31,2538.4,New checkout
2026-03-23,Mobile,DACH,212,8,487.48,New checkout
2026-03-23,Mobile,Benelux,126,4,245.4,New checkout
2026-03-30,Desktop,DACH,758,56,4530.13,New checkout
2026-03-30,Desktop,Benelux,444,31,2444.72,New checkout
2026-03-30,Mobile,DACH,217,8,473.96,New checkout
2026-03-30,Mobile,Benelux,110,3,185.52,New checkout
2026-04-06,Desktop,DACH,818,63,5277.03,New checkout
2026-04-06,Desktop,Benelux,466,33,2647.6,New checkout
2026-04-06,Mobile,DACH,202,7,422.59,New checkout
2026-04-06,Mobile,Benelux,111,4,240.43,New checkout
2026-04-13,Desktop,DACH,846,63,5172.22,New checkout
2026-04-13,Desktop,Benelux,450,32,2553.59,New checkout
2026-04-13,Mobile,DACH,206,7,443.82,New checkout
2026-04-13,Mobile,Benelux,115,4,251.63,New checkout
2026-04-20,Desktop,DACH,816,61,4928.34,New checkout
2026-04-20,Desktop,Benelux,454,32,2597.48,New checkout
2026-04-20,Mobile,DACH,213,8,478.73,New checkout
2026-04-20,Mobile,Benelux,110,3,177.48,New checkout
2026-04-20,Mobile,,110,3,177.48,New checkout
