Model,Epoch,TrainingAccuracy,TrainingLoss,ValidationAccuracy,ValidationLoss,LearningRate
Neural Network,1,0.8795833587646484,0.40247461199760437,0.9548333287239075,0.14847113192081451,0.0010000000474974513
Neural Network,2,0.9487500190734863,0.16843284666538239,0.9661666750907898,0.10987648367881775,0.0010000000474974513
Neural Network,3,0.9613541960716248,0.1259167641401291,0.9714166522026062,0.09028520435094833,0.0010000000474974513
Neural Network,4,0.9675208330154419,0.10392788797616959,0.9738333225250244,0.08504180610179901,0.0010000000474974513
Neural Network,5,0.9730208516120911,0.08566540479660034,0.9760833382606506,0.07846446335315704,0.0010000000474974513
Neural Network,6,0.9756249785423279,0.07538658380508423,0.9744166731834412,0.08747991919517517,0.0010000000474974513
Neural Network,7,0.9784166812896729,0.06826387345790863,0.9763333201408386,0.07883821427822113,0.0010000000474974513
Neural Network,8,0.9849791526794434,0.04736350476741791,0.9803333282470703,0.06885035336017609,0.0005000000237487257
Neural Network,9,0.9860625267028809,0.044016219675540924,0.9798333048820496,0.06849642097949982,0.0005000000237487257
Neural Network,10,0.9876458048820496,0.038150276988744736,0.9791666865348816,0.07072046399116516,0.0005000000237487257
Neural Network,11,0.987666666507721,0.038655105978250504,0.9800000190734863,0.07116446644067764,0.0005000000237487257
Neural Network,12,0.9896249771118164,0.03155018761754036,0.981083333492279,0.0669521763920784,0.0002500000118743628
Neural Network,13,0.9907916784286499,0.02837911807000637,0.9804166555404663,0.06737902760505676,0.0002500000118743628
Neural Network,14,0.9916458129882812,0.025773923844099045,0.981333315372467,0.06827721744775772,0.0002500000118743628
Neural Network,15,0.992312490940094,0.02291913889348507,0.9820833206176758,0.06769466400146484,0.0001250000059371814
