supplier_code,warehouse_code,sku_code,purchase_order_no,order_date,promised_date,receipt_date,delay_reason
SUP-001,WH-MUC,ELEC-1002,DEMO-PO-00001,2025-11-27,2025-12-05,2025-12-11,Carrier delay
SUP-002,WH-HAM,MECH-2001,DEMO-PO-00002,2025-11-29,2025-12-11,2025-12-13,
SUP-001,WH-MUC,ELEC-1001,DEMO-PO-00003,2025-12-01,2025-12-09,2025-12-04,
SUP-001,WH-HAM,ELEC-1002,DEMO-PO-00004,2025-12-03,2025-12-11,2025-12-13,
SUP-002,WH-MUC,MECH-2001,DEMO-PO-00005,2025-12-05,2025-12-17,2025-12-18,
SUP-001,WH-HAM,ELEC-1001,DEMO-PO-00006,2025-12-07,2025-12-15,2025-12-16,
SUP-001,WH-MUC,ELEC-1002,DEMO-PO-00007,2025-12-09,2025-12-17,2025-12-19,
SUP-002,WH-HAM,MECH-2001,DEMO-PO-00008,2025-12-11,2025-12-23,2025-12-24,
SUP-001,WH-MUC,ELEC-1001,DEMO-PO-00009,2025-12-13,2025-12-21,2025-12-22,
SUP-001,WH-HAM,ELEC-1002,DEMO-PO-00010,2025-12-15,2025-12-23,2025-12-26,Carrier delay
SUP-002,WH-MUC,MECH-2001,DEMO-PO-00011,2025-12-17,2025-12-29,2025-12-29,
SUP-001,WH-HAM,ELEC-1001,DEMO-PO-00012,2025-12-19,2025-12-27,2025-12-26,
SUP-001,WH-MUC,ELEC-1002,DEMO-PO-00013,2025-12-21,2025-12-29,2026-01-06,Carrier delay
SUP-002,WH-HAM,MECH-2001,DEMO-PO-00014,2025-12-23,2026-01-04,2026-01-03,
SUP-001,WH-MUC,ELEC-1001,DEMO-PO-00015,2025-12-25,2026-01-02,2026-01-03,
SUP-001,WH-HAM,ELEC-1002,DEMO-PO-00016,2025-12-27,2026-01-04,2026-01-02,
SUP-002,WH-MUC,MECH-2001,DEMO-PO-00017,2025-12-29,2026-01-10,2026-01-11,
SUP-001,WH-HAM,ELEC-1001,DEMO-PO-00018,2025-12-31,2026-01-08,2026-01-07,
SUP-001,WH-MUC,ELEC-1002,DEMO-PO-00019,2026-01-02,2026-01-10,2026-01-10,
SUP-002,WH-HAM,MECH-2001,DEMO-PO-00020,2026-01-04,2026-01-16,2026-01-20,Carrier delay
SUP-001,WH-MUC,ELEC-1001,DEMO-PO-00021,2026-01-06,2026-01-14,2026-01-16,
SUP-001,WH-HAM,ELEC-1002,DEMO-PO-00022,2026-01-08,2026-01-16,2026-01-19,Carrier delay
SUP-002,WH-MUC,MECH-2001,DEMO-PO-00023,2026-01-10,2026-01-22,2026-01-19,
