source_transaction_id,transaction_ts,warehouse_code,sku_code,transaction_type,quantity,unit_cost,source_system
TX-00000001,2025-11-25T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,20,42.5,DEMO
TX-00000002,2025-11-26T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,11,42.5,DEMO
TX-00000003,2025-11-27T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,15,42.5,DEMO
TX-00000004,2025-11-28T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,18,42.5,DEMO
TX-00000005,2025-11-29T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,12,42.5,DEMO
TX-00000006,2025-11-30T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,13,42.5,DEMO
TX-00000007,2025-12-01T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,21,42.5,DEMO
TX-00000008,2025-12-02T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,20,42.5,DEMO
TX-00000009,2025-12-03T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,21,42.5,DEMO
TX-00000010,2025-12-04T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,17,42.5,DEMO
TX-00000011,2025-12-05T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,12,42.5,DEMO
TX-00000012,2025-12-06T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,11,42.5,DEMO
TX-00000013,2025-12-07T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,12,42.5,DEMO
TX-00000014,2025-12-08T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,12,42.5,DEMO
TX-00000015,2025-12-09T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,14,42.5,DEMO
TX-00000016,2025-12-10T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,17,42.5,DEMO
TX-00000017,2025-12-11T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,20,42.5,DEMO
TX-00000018,2025-12-12T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,16,42.5,DEMO
TX-00000019,2025-12-13T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,15,42.5,DEMO
TX-00000020,2025-12-14T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,10,42.5,DEMO
TX-00000021,2025-12-15T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,22,42.5,DEMO
TX-00000022,2025-12-16T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,20,42.5,DEMO
TX-00000023,2025-12-17T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,17,42.5,DEMO
TX-00000024,2025-12-18T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,12,42.5,DEMO
TX-00000025,2025-12-19T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,20,42.5,DEMO
TX-00000026,2025-12-20T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,14,42.5,DEMO
TX-00000027,2025-12-21T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,15,42.5,DEMO
TX-00000028,2025-12-22T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,19,42.5,DEMO
TX-00000029,2025-12-23T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,14,42.5,DEMO
TX-00000030,2025-12-24T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,24,42.5,DEMO
TX-00000031,2025-12-25T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,10,42.5,DEMO
TX-00000032,2025-12-26T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,16,42.5,DEMO
TX-00000033,2025-12-27T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,15,42.5,DEMO
TX-00000034,2025-12-28T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,16,42.5,DEMO
TX-00000035,2025-12-29T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,23,42.5,DEMO
TX-00000036,2025-12-30T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,22,42.5,DEMO
TX-00000037,2025-12-31T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,14,42.5,DEMO
TX-00000038,2026-01-01T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,14,42.5,DEMO
TX-00000039,2026-01-01T12:00:00+00:00,WH-HAM,ELEC-1001,RECEIPT,700,36.125,DEMO
TX-00000040,2026-01-02T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,18,42.5,DEMO
TX-00000041,2026-01-03T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,12,42.5,DEMO
TX-00000042,2026-01-04T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,13,42.5,DEMO
TX-00000043,2026-01-05T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,26,42.5,DEMO
TX-00000044,2026-01-06T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,23,42.5,DEMO
TX-00000045,2026-01-07T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,19,42.5,DEMO
TX-00000046,2026-01-08T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,13,42.5,DEMO
TX-00000047,2026-01-09T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,19,42.5,DEMO
TX-00000048,2026-01-10T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,12,42.5,DEMO
TX-00000049,2026-01-11T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,11,42.5,DEMO
TX-00000050,2026-01-12T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,23,42.5,DEMO
TX-00000051,2026-01-13T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,19,42.5,DEMO
TX-00000052,2026-01-14T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,21,42.5,DEMO
TX-00000053,2026-01-15T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,12,42.5,DEMO
TX-00000054,2026-01-16T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,18,42.5,DEMO
TX-00000055,2026-01-17T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,9,42.5,DEMO
TX-00000056,2026-01-18T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,16,42.5,DEMO
TX-00000057,2026-01-19T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,21,42.5,DEMO
TX-00000058,2026-01-20T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,31,42.5,DEMO
TX-00000059,2026-01-21T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,25,42.5,DEMO
TX-00000060,2026-01-22T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,20,42.5,DEMO
TX-00000061,2026-01-23T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,29,42.5,DEMO
TX-00000062,2026-01-24T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,15,42.5,DEMO
TX-00000063,2026-01-25T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,13,42.5,DEMO
TX-00000064,2026-01-26T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,20,42.5,DEMO
TX-00000065,2026-01-27T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,15,42.5,DEMO
TX-00000066,2026-01-28T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,14,42.5,DEMO
TX-00000067,2026-01-29T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,18,42.5,DEMO
TX-00000068,2026-01-30T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,24,42.5,DEMO
TX-00000069,2026-01-31T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,12,42.5,DEMO
TX-00000070,2026-02-01T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,17,42.5,DEMO
TX-00000071,2026-02-02T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,26,42.5,DEMO
TX-00000072,2026-02-03T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,19,42.5,DEMO
TX-00000073,2026-02-04T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,18,42.5,DEMO
TX-00000074,2026-02-05T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,16,42.5,DEMO
TX-00000075,2026-02-06T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,28,42.5,DEMO
TX-00000076,2026-02-07T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,16,42.5,DEMO
TX-00000077,2026-02-08T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,20,42.5,DEMO
TX-00000078,2026-02-08T12:00:00+00:00,WH-HAM,ELEC-1001,RECEIPT,700,36.125,DEMO
TX-00000079,2026-02-09T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,20,42.5,DEMO
TX-00000080,2026-02-10T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,25,42.5,DEMO
TX-00000081,2026-02-11T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,31,42.5,DEMO
TX-00000082,2026-02-12T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,16,42.5,DEMO
TX-00000083,2026-02-13T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,16,42.5,DEMO
TX-00000084,2026-02-14T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,18,42.5,DEMO
TX-00000085,2026-02-15T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,12,42.5,DEMO
TX-00000086,2026-02-16T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,22,42.5,DEMO
TX-00000087,2026-02-17T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,16,42.5,DEMO
TX-00000088,2026-02-18T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,16,42.5,DEMO
TX-00000089,2026-02-19T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,25,42.5,DEMO
TX-00000090,2026-02-20T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,18,42.5,DEMO
TX-00000091,2026-02-21T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,20,42.5,DEMO
TX-00000092,2026-02-22T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,11,42.5,DEMO
TX-00000093,2026-02-23T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,31,42.5,DEMO
TX-00000094,2026-02-24T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,20,42.5,DEMO
TX-00000095,2026-02-25T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,20,42.5,DEMO
TX-00000096,2026-02-26T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,25,42.5,DEMO
TX-00000097,2026-02-27T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,17,42.5,DEMO
TX-00000098,2026-02-28T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,25,42.5,DEMO
TX-00000099,2026-03-01T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,17,42.5,DEMO
TX-00000100,2026-03-02T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,28,42.5,DEMO
TX-00000101,2026-03-03T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,19,42.5,DEMO
TX-00000102,2026-03-04T00:00:00+00:00,WH-HAM,ELEC-1001,SALE,25,42.5,DEMO
