Model,Epoch,TrainingAccuracy,TrainingLoss,ValidationAccuracy,ValidationLoss,LearningRate
CNN,1,0.9470624923706055,0.17718467116355896,0.8765000104904175,0.34843868017196655,0.0010000000474974513
CNN,2,0.9836666584014893,0.05559562146663666,0.9851666688919067,0.05235961079597473,0.0010000000474974513
CNN,3,0.9882291555404663,0.03855043649673462,0.9878333210945129,0.04456990212202072,0.0010000000474974513
CNN,4,0.9909374713897705,0.028274906799197197,0.9894999861717224,0.03654279187321663,0.0010000000474974513
CNN,5,0.9927499890327454,0.02268562652170658,0.9894999861717224,0.04207654297351837,0.0010000000474974513
CNN,6,0.9940208196640015,0.01961914449930191,0.9899166822433472,0.044754933565855026,0.0010000000474974513
CNN,7,0.9971458315849304,0.009183449670672417,0.9918333292007446,0.031632039695978165,0.0005000000237487257
CNN,8,0.9980416893959045,0.0060120816342532635,0.9925000071525574,0.03384236618876457,0.0005000000237487257
CNN,9,0.9985208511352539,0.004413163289427757,0.9921666383743286,0.03725520148873329,0.0005000000237487257
CNN,10,0.9991458058357239,0.0026558097451925278,0.9930833578109741,0.03352060541510582,0.0002500000118743628
