Model,ActualDigit,PredictedDigit,PredictionCount,CorrectCell
Neural Network,0,0,972,True
Neural Network,0,1,1,False
Neural Network,0,2,1,False
Neural Network,0,3,0,False
Neural Network,0,4,1,False
Neural Network,0,5,0,False
Neural Network,0,6,2,False
Neural Network,0,7,1,False
Neural Network,0,8,2,False
Neural Network,0,9,0,False
Neural Network,1,0,0,False
Neural Network,1,1,1125,True
Neural Network,1,2,3,False
Neural Network,1,3,0,False
Neural Network,1,4,0,False
Neural Network,1,5,1,False
Neural Network,1,6,2,False
Neural Network,1,7,0,False
Neural Network,1,8,4,False
Neural Network,1,9,0,False
Neural Network,2,0,3,False
Neural Network,2,1,1,False
Neural Network,2,2,1017,True
Neural Network,2,3,1,False
Neural Network,2,4,1,False
Neural Network,2,5,0,False
Neural Network,2,6,1,False
Neural Network,2,7,4,False
Neural Network,2,8,4,False
Neural Network,2,9,0,False
Neural Network,3,0,0,False
Neural Network,3,1,0,False
Neural Network,3,2,5,False
Neural Network,3,3,996,True
Neural Network,3,4,0,False
Neural Network,3,5,2,False
Neural Network,3,6,0,False
Neural Network,3,7,2,False
Neural Network,3,8,3,False
Neural Network,3,9,2,False
Neural Network,4,0,1,False
Neural Network,4,1,0,False
Neural Network,4,2,1,False
Neural Network,4,3,0,False
Neural Network,4,4,970,True
Neural Network,4,5,0,False
Neural Network,4,6,4,False
Neural Network,4,7,3,False
Neural Network,4,8,1,False
Neural Network,4,9,2,False
Neural Network,5,0,2,False
Neural Network,5,1,0,False
Neural Network,5,2,0,False
Neural Network,5,3,9,False
Neural Network,5,4,1,False
Neural Network,5,5,869,True
Neural Network,5,6,4,False
Neural Network,5,7,1,False
Neural Network,5,8,4,False
Neural Network,5,9,2,False
Neural Network,6,0,5,False
Neural Network,6,1,2,False
Neural Network,6,2,1,False
Neural Network,6,3,1,False
Neural Network,6,4,3,False
Neural Network,6,5,2,False
Neural Network,6,6,941,True
Neural Network,6,7,0,False
Neural Network,6,8,3,False
Neural Network,6,9,0,False
Neural Network,7,0,1,False
Neural Network,7,1,7,False
Neural Network,7,2,10,False
Neural Network,7,3,1,False
Neural Network,7,4,0,False
Neural Network,7,5,0,False
Neural Network,7,6,0,False
Neural Network,7,7,1001,True
Neural Network,7,8,2,False
Neural Network,7,9,6,False
Neural Network,8,0,1,False
Neural Network,8,1,0,False
Neural Network,8,2,3,False
Neural Network,8,3,5,False
Neural Network,8,4,3,False
Neural Network,8,5,0,False
Neural Network,8,6,1,False
Neural Network,8,7,2,False
Neural Network,8,8,956,True
Neural Network,8,9,3,False
Neural Network,9,0,4,False
Neural Network,9,1,2,False
Neural Network,9,2,0,False
Neural Network,9,3,4,False
Neural Network,9,4,10,False
Neural Network,9,5,3,False
Neural Network,9,6,0,False
Neural Network,9,7,3,False
Neural Network,9,8,2,False
Neural Network,9,9,981,True
CNN,0,0,979,True
CNN,0,1,0,False
CNN,0,2,0,False
CNN,0,3,0,False
CNN,0,4,0,False
CNN,0,5,0,False
CNN,0,6,0,False
CNN,0,7,1,False
CNN,0,8,0,False
CNN,0,9,0,False
CNN,1,0,0,False
CNN,1,1,1132,True
CNN,1,2,1,False
CNN,1,3,1,False
CNN,1,4,0,False
CNN,1,5,0,False
CNN,1,6,0,False
CNN,1,7,1,False
CNN,1,8,0,False
CNN,1,9,0,False
CNN,2,0,0,False
CNN,2,1,0,False
CNN,2,2,1028,True
CNN,2,3,0,False
CNN,2,4,0,False
CNN,2,5,0,False
CNN,2,6,0,False
CNN,2,7,3,False
CNN,2,8,1,False
CNN,2,9,0,False
CNN,3,0,0,False
CNN,3,1,1,False
CNN,3,2,1,False
CNN,3,3,1001,True
CNN,3,4,0,False
CNN,3,5,5,False
CNN,3,6,0,False
CNN,3,7,0,False
CNN,3,8,2,False
CNN,3,9,0,False
CNN,4,0,0,False
CNN,4,1,0,False
CNN,4,2,0,False
CNN,4,3,0,False
CNN,4,4,979,True
CNN,4,5,0,False
CNN,4,6,1,False
CNN,4,7,0,False
CNN,4,8,0,False
CNN,4,9,2,False
CNN,5,0,1,False
CNN,5,1,0,False
CNN,5,2,0,False
CNN,5,3,4,False
CNN,5,4,0,False
CNN,5,5,886,True
CNN,5,6,1,False
CNN,5,7,0,False
CNN,5,8,0,False
CNN,5,9,0,False
CNN,6,0,4,False
CNN,6,1,1,False
CNN,6,2,0,False
CNN,6,3,1,False
CNN,6,4,1,False
CNN,6,5,0,False
CNN,6,6,947,True
CNN,6,7,0,False
CNN,6,8,4,False
CNN,6,9,0,False
CNN,7,0,0,False
CNN,7,1,1,False
CNN,7,2,1,False
CNN,7,3,0,False
CNN,7,4,0,False
CNN,7,5,0,False
CNN,7,6,0,False
CNN,7,7,1021,True
CNN,7,8,1,False
CNN,7,9,4,False
CNN,8,0,1,False
CNN,8,1,0,False
CNN,8,2,1,False
CNN,8,3,0,False
CNN,8,4,0,False
CNN,8,5,1,False
CNN,8,6,0,False
CNN,8,7,0,False
CNN,8,8,970,True
CNN,8,9,1,False
CNN,9,0,0,False
CNN,9,1,0,False
CNN,9,2,0,False
CNN,9,3,0,False
CNN,9,4,4,False
CNN,9,5,2,False
CNN,9,6,0,False
CNN,9,7,2,False
CNN,9,8,4,False
CNN,9,9,997,True
