Model,Digit,Precision,Recall,F1Score,Support,CorrectPredictions,IncorrectPredictions,DigitAccuracy,AverageConfidence
Neural Network,0,0.9828109201213346,0.9918367346938776,0.9873031995937024,980,972,8,0.9918367346938776,0.9960269927978516
Neural Network,1,0.9885764499121266,0.9911894273127754,0.9898812142542894,1135,1125,10,0.9911894273127754,0.9959312677383423
Neural Network,2,0.9769452449567724,0.9854651162790697,0.9811866859623734,1032,1017,15,0.9854651162790697,0.9919177889823914
Neural Network,3,0.9793510324483776,0.9861386138613861,0.9827331031080414,1010,996,14,0.9861386138613861,0.9875478148460388
Neural Network,4,0.980788675429727,0.9877800407331976,0.9842719431760527,982,970,12,0.9877800407331976,0.9900957942008972
Neural Network,5,0.9908779931584949,0.9742152466367713,0.9824759751271905,892,869,23,0.9742152466367713,0.9847609400749207
Neural Network,6,0.9853403141361257,0.9822546972860126,0.9837950862519603,958,941,17,0.9822546972860126,0.9919407963752747
Neural Network,7,0.984267453294002,0.9737354085603113,0.9789731051344743,1028,1001,27,0.9737354085603113,0.985349178314209
Neural Network,8,0.9745158002038736,0.9815195071868583,0.978005115089514,974,956,18,0.9815195071868583,0.9869354963302612
Neural Network,9,0.9849397590361446,0.9722497522299306,0.9785536159600997,1009,981,28,0.9722497522299306,0.9798829555511475
CNN,0,0.9939086294416244,0.9989795918367347,0.9964376590330789,980,979,1,0.9989795918367347,0.9989687204360962
CNN,1,0.9973568281938326,0.9973568281938326,0.9973568281938326,1135,1132,3,0.9973568281938326,0.997855544090271
CNN,2,0.9961240310077519,0.9961240310077519,0.9961240310077519,1032,1028,4,0.9961240310077519,0.9987580180168152
CNN,3,0.9940417080436942,0.9910891089108911,0.992563212692117,1010,1001,9,0.9910891089108911,0.9972949028015137
CNN,4,0.9949186991869918,0.9969450101832994,0.9959308240081384,982,979,3,0.9969450101832994,0.9974847435951233
CNN,5,0.9910514541387024,0.9932735426008968,0.9921612541993281,892,886,6,0.9932735426008968,0.9975793957710266
CNN,6,0.9978925184404637,0.988517745302714,0.9931830099632931,958,947,11,0.988517745302714,0.9966073036193848
CNN,7,0.9931906614785992,0.9931906614785992,0.9931906614785992,1028,1021,7,0.9931906614785992,0.9957274198532104
CNN,8,0.9877800407331976,0.9958932238193019,0.9918200408997955,974,970,4,0.9958932238193019,0.9979908466339111
CNN,9,0.9930278884462151,0.9881070366699702,0.9905613512170889,1009,997,12,0.9881070366699702,0.9962694048881531
